SupplierID,SupplierName,Category,Country,LeadTimeDays,QualityRating,PaymentTerms,ContactPerson,Email,IsActive
SUP001,Smith Group Pharmaceuticals,Distributor,India,40,4.9,Net 90,David Sanders,kcook@example.org,Yes
SUP002,Weber LLC Pharmaceuticals,Biologics,Japan,24,4.7,Net 60,Laura Hall,holly48@example.com,Yes
SUP003,Rivera Ltd Pharmaceuticals,Specialty,France,36,4,Net 60,Sarah Sims,marquezgregory@example.com,Yes
SUP004,"Jenkins, Sutton and Cruz Pharmaceuticals",Generic Manufacturer,Canada,32,4.9,Net 90,Christopher Gutierrez,qoconnor@example.org,Yes
SUP005,"Ingram, Cervantes and Sanders Pharmaceuticals",Generic Manufacturer,Brazil,44,4.9,Net 30,Evelyn Gould,rgibson@example.org,Yes
SUP006,"Hendricks, Miller and Moody Pharmaceuticals",Biologics,China,42,3.6,Net 90,Jordan Sullivan,kevinsanders@example.com,Yes
SUP007,"Prince, Davis and Cowan Pharmaceuticals",Specialty,Canada,42,3.3,Net 60,Dawn Smith,marialee@example.com,Yes
SUP008,"Bates, Lee and Chandler Pharmaceuticals",Specialty,USA,24,3.8,Net 30,Daniel Burnett,laura15@example.com,Yes
SUP009,Jackson Ltd Pharmaceuticals,Distributor,Brazil,12,4.7,Net 45,Dennis Montes,qcosta@example.org,No
SUP010,"Tate, Long and Murray Pharmaceuticals",Manufacturer,Brazil,49,4.4,Net 90,Courtney Romero,kellycook@example.org,Yes
SUP011,"Baker, Williams and Woods Pharmaceuticals",Generic Manufacturer,China,8,3.7,Net 30,Patricia Brown,zcurry@example.net,Yes
SUP012,"Nelson, Wallace and Norman Pharmaceuticals",Manufacturer,Japan,47,3.1,Net 30,Hector Olson,toddcastillo@example.com,Yes
SUP013,Parrish and Sons Pharmaceuticals,Specialty,China,34,3.1,Net 45,John Swanson,wmckee@example.com,Yes
SUP014,Spencer-Tanner Pharmaceuticals,Specialty,Japan,59,4.1,Net 60,Mark Lowery,sdawson@example.com,Yes
SUP015,Baker-Smith Pharmaceuticals,Manufacturer,India,13,3.9,Net 90,Diana Johnston,zjohnson@example.org,No
SUP016,"Griffin, Houston and Gill Pharmaceuticals",Biologics,Brazil,22,3.1,Net 60,Regina Adams,nwilson@example.net,Yes
SUP017,"Tanner, Watson and Dalton Pharmaceuticals",Biologics,Italy,9,5,Net 45,Colin Carpenter,ecarter@example.com,Yes
SUP018,"Franklin, Gill and Franco Pharmaceuticals",Specialty,India,26,4.5,Net 45,Jean Cervantes,tyler06@example.net,Yes
